price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt,propertyTaxRate,taxAssessedValue,zestimate,rentZestimate,latitude,longitude,resoFacts/stories,resoFacts/hasGarage,resoFacts/hasHeating,resoFacts/hasCooling,resoFacts/hasFireplace,resoFacts/isNewConstruction,homeType
175000,3.0,2.0,1112.0,7392.0,1985.0,1.12,299080.0,180203.0,1900.0,45.51324844,-122.4020767,,False,True,False,True,,SINGLE_FAMILY
362000,3.0,1.0,912.0,8712.0,1956.0,1.12,267280.0,372763.0,1795.0,45.52877426,-122.4678574,1.0,False,True,True,,False,SINGLE_FAMILY
292600,3.0,1.0,1380.0,8276.0,1967.0,1.12,265860.0,301300.0,1650.0,45.51392365,-122.4773788,1.0,False,True,True,True,False,SINGLE_FAMILY
365000,3.0,2.0,1420.0,10890.0,1947.0,1.12,417970.0,436492.0,1850.0,45.52365875,-122.4650726,1.0,False,True,True,,False,SINGLE_FAMILY
642000,4.0,2.0,2733.0,17424.0,2007.0,1.12,605650.0,690058.0,2175.0,45.47143936,-122.4300156,2.0,False,True,True,True,False,SINGLE_FAMILY
386000,4.0,1.0,1386.0,6969.0,1968.0,1.12,310100.0,401167.0,1850.0,45.52370453,-122.4637375,1.0,False,True,,,False,SINGLE_FAMILY
525000,3.0,2.0,2086.0,8712.0,1986.0,1.12,413940.0,541623.0,2195.0,45.5411911,-122.4941711,1.0,False,True,True,True,False,SINGLE_FAMILY
320000,3.0,1.0,960.0,6098.0,1957.0,1.12,272180.0,330132.0,1895.0,45.52868652,-122.4651566,1.0,False,True,,True,False,SINGLE_FAMILY
459500,4.0,3.0,2066.0,10018.0,1976.0,1.12,399050.0,493551.0,2295.0,45.4759903,-122.4499054,2.0,False,True,True,True,False,SINGLE_FAMILY
250000,2.0,3.0,1079.0,,2006.0,1.12,193170.0,257915.0,1605.0,45.516922,-122.4657745,2.0,False,True,,True,False,CONDO
470000,3.0,3.0,2064.0,11325.0,1984.0,1.12,388570.0,484881.0,2250.0,45.51032639,-122.4492035,3.0,False,True,True,True,False,SINGLE_FAMILY
300000,2.0,1.0,1224.0,80150.0,1954.0,1.12,881340.0,559141.0,1695.0,45.47031784,-122.4536667,,False,True,False,True,,SINGLE_FAMILY
415000,4.0,2.0,2016.0,6969.0,1963.0,1.12,370500.0,429264.0,2150.0,45.53183365,-122.4649887,2.0,False,True,True,True,False,SINGLE_FAMILY
420000,4.0,3.0,1504.0,9147.0,2000.0,1.12,340970.0,434436.0,2000.0,45.51301193,-122.4780273,2.0,False,True,True,True,False,SINGLE_FAMILY
430000,4.0,2.0,1780.0,8712.0,1972.0,1.12,338430.0,444779.0,2150.0,45.5122261,-122.4421158,1.0,False,True,True,True,False,SINGLE_FAMILY
500000,4.0,3.0,2987.0,5227.0,2006.0,1.12,423220.0,536104.0,2445.0,45.47184753,-122.4539871,2.0,True,True,,True,False,SINGLE_FAMILY
250000,2.0,1.0,880.0,2178.0,2003.0,1.12,168040.0,284669.0,1460.0,45.51487732,-122.4655685,1.0,False,True,,,False,CONDO
416900,4.0,2.0,2337.0,10018.0,1964.0,1.12,350730.0,431552.0,1900.0,45.52775574,-122.4580688,2.0,False,True,,True,False,SINGLE_FAMILY
438000,4.0,3.0,2431.0,11325.0,1960.0,1.12,393150.0,453394.0,2200.0,45.5111351,-122.4770889,1.0,False,True,True,True,False,SINGLE_FAMILY
595000,5.0,4.0,3500.0,13068.0,1989.0,1.12,510000.0,616374.0,1800.0,45.54019547,-122.4943161,2.0,False,True,True,True,False,SINGLE_FAMILY
353700,3.0,1.0,1200.0,8276.0,1956.0,1.12,264140.0,366817.0,1810.0,45.51315689,-122.4831696,1.0,False,True,True,True,False,SINGLE_FAMILY
396800,2.0,1.0,1000.0,8210.0,1974.0,1.12,325630.0,411670.0,1550.0,45.52125168,-122.4126434,,False,True,False,True,,SINGLE_FAMILY
400000,3.0,1.0,1176.0,7840.0,1968.0,1.12,287090.0,414990.0,1895.0,45.51395416,-122.4456329,1.0,False,True,True,True,False,SINGLE_FAMILY
502183,3.0,2.0,1974.0,6969.0,1987.0,1.12,380400.0,521197.0,2195.0,45.53736877,-122.4925079,1.0,False,True,True,True,False,SINGLE_FAMILY
419000,4.0,2.0,1609.0,7405.0,1955.0,1.12,287280.0,434865.0,1895.0,45.52291489,-122.4678955,2.0,False,True,,False,False,SINGLE_FAMILY
155000,1.0,1.0,612.0,,1969.0,1.12,119650.0,160868.0,1095.0,45.51144409,-122.4137955,1.0,False,True,,False,False,CONDO
437500,3.0,2.0,1662.0,9147.0,1957.0,1.12,389990.0,454235.0,2175.0,45.52772141,-122.4935532,1.0,False,True,,True,False,SINGLE_FAMILY
